,Sunday,,,,,,,,Monday,,,,,,,
,Illinois v Loyola Chicago,Baylor v Wisconsin,West Virginia v Syracuse,Arkansas v Texas Tech,Houston v Rutgers,Florida v Oral Roberts,Villanova v North Texas,Oklahoma St. v Oregon St.,Oregon v Iowa,Oklahoma v Gonzaga,Abilene Christian v UCLA,Ohio v Creighton,LSU v Michigan,Colorado v Florida St.,Maryland v Alabama,USC v Kansas
Winner,Loyola Chicago (16),Baylor (2),Syracuse (22),Arkansas (6),Houston (4),Oral Roberts (30),Villanova (10),Oregon St. (24),Oregon (14),Gonzaga (2),,,,,,
,,,,,,,,,,,,,,,,
Tyler,Illinois,Wisconsin,Syracuse,Colgate,Rutgers,Florida,Villanova,Oregon St.,Iowa,Gonzaga,UCLA,Ohio,Michigan,Florida St.,Maryland,Drake
Sidd,Illinois,North Carolina,West Virginia,Texas Tech.,Houston,Ohio St.,Purdue,Oklahoma St.,Iowa,Gonzaga,UCLA,Ohio,LSU,Florida St.,Alabama,USC
Roberto,Illinois,Baylor,West Virginia,Texas Tech.,Houston,Ohio St.,Purdue,Tennessee,Iowa,Gonzaga,Texas,Virginia,Michigan,Colorado,Alabama,USC
Justin,Illinois,Baylor,Syracuse,Texas Tech.,Houston,Ohio St.,Purdue,Tennessee,Iowa,Gonzaga,UCLA,Creighton,Michigan,Florida St.,Alabama,USC
Jo,Georgia Tech.,Baylor,West Virginia,Texas Tech.,Clemson,Ohio St.,Villanova,Tennessee,Oregon,Gonzaga,Texas,Virginia,Michigan,Florida St.,Maryland,Kansas
Jenna,Illinois,Wisconsin,San Diego St.,Arkansas,Houston,Virginia Tech.,Purdue,Oklahoma St.,Iowa,Gonzaga,Texas,Virginia,LSU,Colorado,Alabama,Kansas
Elaine,Loyola Chicago,North Carolina,West Virginia,Arkansas,Houston,Ohio St.,Villanova,Oregon St.,VCU,Gonzaga,UCLA,Creighton,Michigan,Colorado,Alabama,Kansas
Dave,Illinois,Wisconsin,West Virginia,Arkansas,Clemson,Ohio St.,Winthrop,Tennessee,VCU,Gonzaga,BYU,Virginia,Michigan,Georgetown,Maryland,Kansas
Conner,Loyola Chicago,Wisconsin,Syracuse,Colgate,Houston,Ohio St.,Villanova,Tennessee,Oregon,Gonzaga,UCLA,Creighton,LSU,Colorado,Alabama,USC
Cara,Illinois,Wisconsin,West Virginia,Arkansas,Houston,Virginia Tech.,Purdue,Tennessee,Iowa,Gonzaga,Texas,Virginia,Michigan,Florida St.,Maryland,USC
Barack,Illinois,Baylor,San Diego St.,Texas Tech.,Houston,Ohio St.,Purdue,Oklahoma St.,Iowa,Gonzaga,Texas,Ohio,Michigan,Florida St.,Alabama,USC
Alec,Illinois,Baylor,San Diego St.,Arkansas,Houston,Ohio St.,Purdue,Oklahoma St.,Iowa,Gonzaga,BYU,UC Santa Barbara,Michigan,Colorado,Alabama,USC
